id,breed,type,country
1,ENGLISH COCKER SPANIEL,FLUSHING DOGS,GREAT BRITAIN
2,BORDER TERRIER,TERRIERS,GREAT BRITAIN
3,BULL TERRIER,TERRIERS,GREAT BRITAIN
4,OLD ENGLISH SHEEPDOG,SHEEPDOGS,GREAT BRITAIN
5,SMALL SWISS HOUND,SCENT HOUNDS,SWITZERLAND
6,ST. BERNARD,MOLOSSIAN,SWITZERLAND
7,NORWICH TERRIER,TERRIERS,GREAT BRITAIN,
8,SCOTTISH TERRIER,TERRIERS,GREAT BRITAIN
9,BLOODHOUND,SCENT HOUNDS,BELGIUM
10,YORKSHIRE TERRIER,TERRIERS,GREAT BRITAIN
11,FRENCH BULLDOG,MOLOSSIAN,FRANCE
12,GOLDEN RETRIEVER,RETRIEVERS,GREAT BRITAIN
13,LABRADOR RETRIEVER,RETRIEVERS,GREAT BRITAIN
14,CHIHUAHUA,CHIHUAHUAS,MEXICO
